subset,base,opponent,horizon,base_mase,opponent_mase,improvement_pct,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,origins_won,n_origins
all tanks,MLP,Linear-AR,6,0.8217553751585079,0.8860571145857521,7.257064851548117,2.984068330705271,12.107642243969773,0.0,-3.0474709370059103,0.005714957142014976,True,16,24
all tanks,MLP,Linear-AR,12,0.8596536437822914,0.9028119838093347,4.780434996547184,2.404477495147821,7.368519068013275,0.0,-3.697546559334089,0.0011884501658210311,True,19,24
all tanks,MLP,Linear-AR,24,0.872794136359402,0.9341814744988916,6.571243362797203,3.957050503243493,9.416487933795375,0.0,-2.909723651446326,0.00789131421929068,True,21,24
all tanks,MLP,SeasonalNaive,6,0.8217553751585079,0.9697212139619116,15.258595632745987,2.2650446342437727,31.604725373096027,0.018,-1.9786450741323294,0.05995260315035322,False,14,24
all tanks,MLP,SeasonalNaive,12,0.8596536437822914,0.9638717673426972,10.812446955234016,2.363027211513425,19.670733150832906,0.0114,-2.418601871702982,0.023898777453958964,True,16,24
all tanks,MLP,SeasonalNaive,24,0.872794136359402,1.0362816373709667,15.77635800112509,8.476739946494758,24.38275408282375,0.0,-2.921467413746078,0.007678533797146114,True,20,24
all tanks,MLP,NPTS,6,0.8217553751585079,0.6813092938065014,-20.614144358332307,-26.76786007116502,-14.35611509147783,0.0,6.3142046820987625,1.9211125208418167e-06,True,1,24
all tanks,MLP,NPTS,12,0.8596536437822914,0.6907974658761917,-24.443659139937118,-30.361902827967604,-18.66797420663059,0.0,8.05171786780452,3.839576900865893e-08,True,1,24
all tanks,MLP,NPTS,24,0.872794136359402,0.7109098367277497,-22.77142490766347,-26.678529568633007,-19.192939990797765,0.0,7.45882918469979,1.3960661404688324e-07,True,0,24
all tanks,MLP,PatchTST-Tuned,6,0.8217553751585079,0.7140835421054912,-15.078324412231098,-21.894506384115093,-7.8610070821707945,0.0,4.066522414549018,0.0004768297609760719,True,5,24
all tanks,MLP,PatchTST-Tuned,12,0.8596536437822914,0.7600704850237129,-13.101832095936711,-18.47326419217735,-7.424185943526596,0.0,4.561498033382471,0.00013885305822514127,True,6,24
all tanks,MLP,PatchTST-Tuned,24,0.872794136359402,0.8060666428049318,-8.278160887823576,-12.435395163186335,-4.439893869089737,0.0,3.834554616810179,0.0008476485234714115,True,6,24
all tanks,MLP,Chronos2-ZS,6,0.8217553751585079,0.596173475223719,-37.83829863449352,-43.19478311673031,-32.767044362552554,0.0,13.765505078545045,1.3633538742396922e-12,True,0,24
all tanks,MLP,Chronos2-ZS,12,0.8596536437822914,0.627832870455817,-36.92396244850459,-42.30529401472105,-32.14771714341122,0.0,13.847036092622508,1.2072565169773952e-12,True,0,24
all tanks,MLP,Chronos2-ZS,24,0.872794136359402,0.6563016477223401,-32.986735503161945,-36.737112659597045,-29.482918938542287,0.0,12.094091061346285,1.8908874466205816e-11,True,0,24
healthy only,MLP,Linear-AR,6,0.739902888104174,0.7650623475437177,3.2885502103612314,0.4914105968528447,5.8438155170721435,0.0208,-2.370955033265752,0.026500164238705493,True,18,24
healthy only,MLP,Linear-AR,12,0.7910262163976461,0.8043513739073046,1.6566338968165926,-0.35438661278539574,3.6403682487138567,0.109,-1.5878217338821587,0.1259802234394629,False,16,24
healthy only,MLP,Linear-AR,24,0.8046783679296308,0.823927837592867,2.336305290943232,0.6799868509578275,4.061711782390818,0.0044,-2.0190193901276974,0.055289542151107485,False,17,24
healthy only,MLP,SeasonalNaive,6,0.739902888104174,0.9037707928514277,18.131577834048457,8.97679585656093,28.147417106652117,0.0,-3.633498228808939,0.0013909881528499923,True,21,24
healthy only,MLP,SeasonalNaive,12,0.7910262163976461,0.9478759077481419,16.54749214199586,8.27980504656053,24.940790012264078,0.0,-3.7933011822894,0.0009386028122837509,True,17,24
healthy only,MLP,SeasonalNaive,24,0.8046783679296308,0.9759707481518802,17.55097481626495,12.144290621226524,23.181821827317627,0.0,-5.610851553673751,1.0387462782368573e-05,True,21,24
healthy only,MLP,NPTS,6,0.739902888104174,0.7079243216725555,-4.517229519119439,-11.809585869327659,4.0266673117839655,0.275,1.1137636333466405,0.27688503629890615,False,9,24
healthy only,MLP,NPTS,12,0.7910262163976461,0.7229103107581959,-9.422455956951229,-15.519942819891268,-2.9714429223705796,0.005,2.8888720525305858,0.008283047618462103,True,7,24
healthy only,MLP,NPTS,24,0.8046783679296308,0.7306572039883603,-10.130764952048516,-14.726162619106628,-5.478777435255747,0.0,2.9137160408531395,0.00781835418856991,True,5,24
healthy only,MLP,PatchTST-Tuned,6,0.739902888104174,0.7516531240907819,1.5632524644690617,-6.91701379105222,10.96866696680157,0.7626,-0.3324755421164899,0.7425414356316431,False,9,24
healthy only,MLP,PatchTST-Tuned,12,0.7910262163976461,0.816811826640194,3.1568605401579632,-3.1411286252477715,9.783182899368013,0.3266,-0.9376893125399804,0.35814713106717777,False,11,24
healthy only,MLP,PatchTST-Tuned,24,0.8046783679296308,0.8627127836791152,6.726968331452263,1.8474800480183031,10.927464301157059,0.0092,-2.706885018075355,0.01258077162289406,True,18,24
healthy only,MLP,Chronos2-ZS,6,0.739902888104174,0.5930927531590889,-24.753317952901277,-30.508811259150324,-18.96224690616022,0.0,8.292543207198706,2.303472079745461e-08,True,1,24
healthy only,MLP,Chronos2-ZS,12,0.7910262163976461,0.6400953264568178,-23.57943945260325,-28.31703410793983,-18.858995661895595,0.0,9.620715645910616,1.5775738493317704e-09,True,1,24
healthy only,MLP,Chronos2-ZS,24,0.8046783679296308,0.6628493412843443,-21.396872232003293,-24.99651871688229,-17.73579339066337,0.0,8.581268152522567,1.2611343080948245e-08,True,0,24
