step,n,mae_Chronos2-ZS,mae_NPTS,mae_SeasonalNaive,mase_Chronos2-ZS,mase_NPTS
1,552,0.1822700012404433,0.24007246376811592,0.31018115942028984,0.5467700973433113,0.6877678866678266
2,552,0.2303496228131437,0.25989130434782604,0.3630434782608696,0.729975967691844,0.8138122506584855
3,576,0.2014817866293419,0.2233680555555556,0.34965277777777776,0.7000882177998423,0.7535592072045858
4,575,0.1847466195913234,0.21370434782608694,0.29719999999999996,0.5955725718453113,0.6560184716317814
5,575,0.1948112859730204,0.22871304347826085,0.2549739130434783,0.5582553977471568,0.661267490996698
6,575,0.1910988890038358,0.2289739130434783,0.28359999999999996,0.4763886585292855,0.5707578473284523
7,576,0.2032843866096967,0.220625,0.29223958333333333,0.5910695082045567,0.6208838144846759
8,576,0.21202293048197238,0.2178472222222222,0.2969097222222222,0.5767899865884317,0.6020579728697988
9,576,0.2259284740876804,0.24427083333333333,0.3149826388888889,0.6310547332341273,0.6876393626165888
10,576,0.18814260527739357,0.20190972222222223,0.3052604166666667,0.5806862632863393,0.6308466572352832
11,576,0.21126362011306912,0.22203124999999999,0.28923611111111114,0.8749626912182257,0.915333932404775
12,576,0.21233554725855355,0.22581597222222222,0.2941145833333334,0.6886121687066535,0.7397217924389314
13,576,0.2016851577365944,0.20973958333333334,0.305,0.539730063647903,0.5872835276114698
14,576,0.25090804921337423,0.25649305555555557,0.30546874999999996,0.8444475262787164,0.8887125155171928
15,552,0.24616314639715287,0.26068840579710145,0.3344021739130435,0.7341636190161149,0.7817778737111045
16,552,0.2042712309264913,0.2142753623188406,0.35251811594202903,0.6362320254175653,0.6696668214875701
17,552,0.2287521482000433,0.24068840579710143,0.31384057971014495,0.7570952017121199,0.794214518226539
18,552,0.22427495735419906,0.2409601449275362,0.35509057971014496,0.9063868555838474,0.9526902061005136
19,552,0.2670540430294531,0.2853442028985507,0.382554347826087,0.7692945645535458,0.803604250630399
20,552,0.24052668362560234,0.2542210144927536,0.42338768115942027,0.6534652969683569,0.7087483199550556
21,551,0.17664365153528788,0.19702359346642467,0.32584392014519054,0.4984408053042412,0.5664865743934281
22,551,0.1964963098723541,0.21513611615245007,0.30330308529945554,0.6388649858569644,0.6970645352704058
23,551,0.18986415792521116,0.21288566243194193,0.2763339382940109,0.5740477235664628,0.6289823650651936
24,552,0.21604964486953035,0.23175724637681155,0.3054347826086957,0.6244911206400369,0.6573244258645373
25,552,0.24731523081616827,0.2628804347826087,0.3060688405797101,0.7744701224985509,0.8187694735429494
26,576,0.2187179249803699,0.22588541666666664,0.33421875,0.7312505131854409,0.7658131613814751
27,575,0.1999116501238359,0.21716521739130434,0.3262434782608696,0.6172086543161053,0.6549237350205838
28,575,0.2068817607233098,0.23803478260869565,0.3129391304347826,0.5792219532561209,0.671799701093648
29,575,0.20047566675257505,0.23198260869565215,0.2952521739130434,0.4972006889481289,0.5755800594777521
30,576,0.21552501422368447,0.22819444444444445,0.31722222222222224,0.6131640407193634,0.6387033315583774
31,576,0.22047484589535288,0.22399305555555551,0.3038194444444444,0.5984288890698074,0.6094230975608091
32,576,0.21329965970433679,0.22352430555555555,0.3024131944444444,0.6006295816344467,0.6447002468175339
33,576,0.19061295908581288,0.19519097222222223,0.2716840277777778,0.5765300456123551,0.6108031344612961
34,576,0.21633859767448785,0.21177083333333335,0.3113194444444444,0.8889150150257206,0.8905126751615866
35,576,0.21775080980853495,0.2219791666666667,0.3057465277777778,0.7346782867861312,0.7654172651884961
36,576,0.2099049437839292,0.21081597222222223,0.2784201388888889,0.6007163758452594,0.6329075518289439
37,576,0.24419607624287082,0.2575,0.320625,0.7474848322707253,0.793249470891351
38,576,0.25360888116270264,0.26088541666666665,0.31585069444444447,0.7581423068248088,0.7966446667017338
39,576,0.21236216293478924,0.22093749999999998,0.34404513888888894,0.6470925219266745,0.6796252118820738
40,576,0.24276215230575365,0.2514930555555555,0.3530381944444445,0.780804150803955,0.8171088099670661
41,576,0.24195772500196958,0.25359375,0.36342013888888886,0.9463927810534989,0.9906639434840577
42,576,0.2726625653528673,0.2840798611111111,0.3998958333333333,0.7777675317387189,0.8059215982926686
43,575,0.23948751978228755,0.24841739130434784,0.36993043478260873,0.6419966187499105,0.6945887067811493
44,575,0.1759711101442616,0.19620869565217391,0.353391304347826,0.49066310707248395,0.559085809756261
45,575,0.1962454944794957,0.20744347826086956,0.32683478260869564,0.6403328624596213,0.6634965712135563
46,575,0.19235961598472506,0.20864347826086957,0.28843478260869565,0.5783218890020503,0.6037836796837927
47,576,0.21820590866440195,0.23690972222222217,0.32960069444444445,0.6273742164064339,0.6752317160104178
48,576,0.2496199382831037,0.26026041666666666,0.29993055555555553,0.771173130349579,0.8071684098313684
49,576,0.21850259125499077,0.22880208333333338,0.34015625,0.7314822387017704,0.7644762623270211
50,575,0.20943131646483973,0.22071304347826087,0.3482608695652174,0.6431197099824126,0.6555330747004633
51,575,0.21203979186370323,0.2412173913043478,0.3726260869565217,0.5911471723058717,0.6740868794953102
52,575,0.20735436321611964,0.23431304347826085,0.28897391304347825,0.5140015347286571,0.5775950418563949
53,576,0.21983777334998905,0.22159722222222222,0.2986805555555556,0.6264320712561527,0.6375993908145199
54,576,0.22460984013621982,0.22722222222222221,0.31946180555555553,0.6015343229932726,0.6311280023554748
55,576,0.20958211841014013,0.21059027777777775,0.3052951388888889,0.59149114466952,0.6143227439392679
56,576,0.20068042570095712,0.19828125000000002,0.30027777777777775,0.5918428784226675,0.59737278837251
