hour,n,mean_actual,mae_Chronos2-ZS,bias_Chronos2-ZS,mae_NPTS,bias_NPTS,mae_SeasonalNaive,bias_SeasonalNaive
0,576,0.3108680555555556,0.11267330261893019,-0.04294734731618721,0.11953124999999999,-0.06505208333333333,0.14703125,-0.014392361111111113
1,576,0.28953124999999996,0.1012647387528644,-0.033019399155230826,0.10689236111111111,-0.05564236111111111,0.13881944444444447,-0.0028125000000000008
2,576,0.27875,0.10357577174674387,-0.03312543669603555,0.11,-0.05579861111111111,0.1353125,-0.010624999999999997
3,576,0.24942708333333335,0.09404958233324577,-0.0176407165970967,0.09815972222222223,-0.043229166666666666,0.1260416666666667,-0.005069444444444442
4,576,0.25277777777777777,0.09708775548136651,-0.021040215506258793,0.10015625,-0.036614583333333325,0.13510416666666666,-0.0025000000000000005
5,576,0.28914930555555557,0.1193050059347944,-0.03674567161106098,0.12494791666666666,-0.05241319444444445,0.16309027777777776,-0.0004861111111111131
6,576,0.36744791666666665,0.13743147142193873,-0.03389093036423421,0.14604166666666668,-0.025868055555555557,0.21029513888888887,-0.00501736111111111
7,576,0.5377951388888889,0.20323767693691883,-0.04915208270183534,0.21223958333333334,-0.004809027777777784,0.29453125,-0.009461805555555557
8,576,0.7403645833333334,0.2417310398173989,-0.002481138506057803,0.29637152777777775,0.07845486111111112,0.3490625,-0.007048611111111115
9,576,0.7946527777777779,0.3592921115571234,-0.09100178268226752,0.3910590277777778,-0.008524305555555552,0.5309201388888889,0.014774305555555565
10,576,0.7628993055555555,0.3686065589683251,-0.06428017447838809,0.4222569444444444,0.012534722222222216,0.5838368055555555,-0.023524305555555555
11,576,0.7039930555555556,0.3579048668804211,-0.09919336637307827,0.39977430555555554,-0.037795138888888885,0.5695138888888889,0.01350694444444445
12,576,0.6284027777777778,0.32086640529520083,-0.05456967387702913,0.3527604166666667,-0.02310763888888889,0.5117708333333333,0.006354166666666666
13,551,0.6315970961887477,0.3064701629867067,-0.04996077430170001,0.3480399274047187,-1.8148820326675156e-05,0.49588021778584396,0.027531760435571692
14,551,0.6815426497277678,0.35615046701304864,-0.12429520255932078,0.38252268602540834,-0.13098003629764066,0.5210526315789474,-0.009147005444646096
15,551,0.6957894736842105,0.36820362339982604,-0.14342662118670885,0.4009255898366606,-0.1406715063520871,0.6270961887477314,0.0098185117967332
16,552,0.6878079710144928,0.3112722487424069,-0.12845636228411594,0.35384057971014493,-0.11902173913043476,0.48990942028985496,-0.011902173913043476
17,552,0.6169927536231885,0.28498593162019964,-0.1446929142932535,0.3040942028985507,-0.1359057971014493,0.39059782608695653,-0.012192028985507246
18,552,0.4158152173913043,0.1341277721989225,-0.047214762178372824,0.14072463768115942,-0.04094202898550725,0.19157608695652173,0.012481884057971014
19,552,0.3895652173913044,0.16862945277387684,-0.048064501331676224,0.16818840579710145,-0.038731884057971004,0.236268115942029,0.013949275362318837
20,551,0.34607985480943737,0.14606199236118073,-0.040796179811384864,0.1472595281306715,-0.06068965517241379,0.20836660617059888,0.004192377495462793
21,551,0.3270235934664247,0.1150293863144916,-0.02991192935062945,0.1223956442831216,-0.05096188747731398,0.1877858439201452,0.034174228675136115
22,527,0.3440796963946869,0.14541127495352352,-0.0466270729611041,0.14986717267552183,-0.06907020872865274,0.21267552182163188,0.016850094876660348
23,552,0.3327355072463768,0.12574464573742117,-0.04442099417352702,0.12864130434782606,-0.06168478260869565,0.1748731884057971,0.010778985507246375
