model,horizon,item_id,n,mae,rmse,mase,rmsse,mean_actual,mean_pred,scaled_ok
ETS,48,GJBC_BLOCK_1_A4_RO,1139,0.005444234401721757,0.018626796922053615,0.09128300639484722,0.09385344236382241,0.00398595258999122,0.003747724617765994,True
ETS,48,GJBC_BLOCK_2_A1,1138,0.19923842093224042,0.2955600734375098,0.95609014759142,0.8358076493982617,0.4074692442882249,0.4174087988892286,True
ETS,48,GJBC_LAW_BLOCK_3_A4_BOYS,1139,0.6692523571500284,1.0373755221071848,0.8082680500269762,0.6475509284423137,1.2830465320456539,1.199396824202376,True
ETS,48,GJBC_LAW_BLOCK_3__A1,1133,0.5296336910979442,1.3646405589545094,2.147598548865294,1.2404962073567765,0.6342365401588703,0.6066916456927215,True
ETS,48,GJBC_LAW_BLOCK_3__A2,1139,0.22830127104173178,0.4020167942655532,0.5345012692150619,0.21932070604833165,0.4311676909569798,0.45238781163147074,True
ETS,48,GJBC_LAW_BLOCK_3__A3_GIRLS,1139,0.18649235491133706,0.24061374305223218,0.7304580319435873,0.5304585076130212,0.33749780509218613,0.3622375678513893,True
ETS,48,G_BLOCK,1139,0.40695739104951256,0.7826416735683793,0.8066772914978513,0.6862205658751569,1.0233450395083408,1.0183153663260482,True
ETS,48,I&H_BLOCK,1139,0.5923047793792958,1.4776312075044808,1.5687722315665684,1.4066741307712731,0.3123090430201932,0.42761875750589706,True
ETS,48,INFORMATION_CENTRE,1139,0.041226416709582554,0.08542346350284939,4.867931554234249,1.440044256908559,0.017383669885864792,0.03231223893391006,True
ETS,48,IT_BLOCK,1139,0.07926400452129699,0.13689908359142294,1.358612899370416,0.8476025690371584,0.09395083406496928,0.09901121469212883,True
ETS,48,ME_WORKSHOP_BLOCK,1139,0.03509568523378345,0.051739843021832856,0.21162561865937818,0.06987884785229932,0.036523266022827044,0.04058879183030233,True
ETS,48,MM_BLOCK,1139,0.25188271578956517,0.38570206143482055,0.5693853582718351,0.49614934156500057,1.1396049165935032,1.1693899167465192,True
ETS,48,MRD_BLOCK,1139,0.9514048608113033,1.42623367462678,0.7903255527424878,0.4962898587747405,1.4137137840210712,1.2926865662181433,True
ETS,48,NBX,1133,0.42662523865145663,0.8745576708737257,1.0074477978281506,0.8603423014116469,0.7871138570167696,0.8423476601107963,True
ETS,48,NEW_BLOCK,1139,0.04167170567500848,0.0688426971452028,0.6026884886341409,0.5168916207316264,0.17575065847234417,0.17378421594824262,True
ETS,48,NEW_BLOCK_RO,1139,0.001268471234277158,0.002010532978863165,0.6317979747323199,0.060761555794469194,0.00038630377524143984,0.0009556118071040399,True
ETS,48,TECH_PARK,1139,0.2796381429948587,0.41448854306760635,0.8154604714990351,0.4146082250658554,0.4035557506584723,0.43896822249955403,True
Theta,48,BE_BLOCK_OHT,1139,0.8880507377299751,1.3651187460062306,0.936496663185105,0.8543849585664602,1.935873573309921,1.713185984906112,True
Theta,48,BE_BLOCK_RO,1139,0.011760221220722603,0.019355729707096144,0.8899442461718842,0.30970898052827284,0.01141352063213345,0.011064668317018722,True
Theta,48,CRICKET_GROUND_OHT,1139,0.013021368448745543,0.035148330947985654,0.23150576356498134,0.2738618199433017,0.008674275680421421,0.007235243532331295,True
Theta,48,F_BLOCK,1139,0.5498715255369364,0.935104783035532,0.9433146478332024,0.7761389688571632,0.716865671641791,0.7495582340584014,True
Theta,48,GJBC_BLOCK_1_A1_BOYS,1139,0.09605977351420573,0.13120664112341363,0.7228161971640085,0.6113892553972341,0.15848990342405617,0.11898273636084733,True
Theta,48,GJBC_BLOCK_1_A2_GIRLS,1139,0.09099536687721616,0.13236395333863088,0.6682531187288887,0.6183777450691532,0.16414398595259,0.14445092317518887,True
Theta,48,GJBC_BLOCK_1_A3,1139,0.1050374084486566,0.1482463583407947,0.6230506457665363,0.539974080574321,0.18919227392449517,0.18338074631259707,True
Theta,48,GJBC_BLOCK_1_A4_RO,1139,0.005139397360429736,0.018725795583650662,0.08613925128688579,0.09435303820060399,0.00398595258999122,0.0029490225956667624,True
Theta,48,GJBC_BLOCK_2_A1,1138,0.2189841338366457,0.33373660052914533,1.0506291277554658,0.9435345896105467,0.4074692442882249,0.35914026337823823,True
Theta,48,GJBC_LAW_BLOCK_3_A4_BOYS,1139,0.7323354480816111,1.0887742623934815,0.8844261206996893,0.679584669228024,1.2830465320456539,1.1943142237135256,True
Theta,48,GJBC_LAW_BLOCK_3__A1,1133,0.5378688345278764,1.4244550729760768,2.1796207025634184,1.2946510544579959,0.6342365401588703,0.5674718217033018,True
Theta,48,GJBC_LAW_BLOCK_3__A2,1139,0.24349664214051975,0.40296670709999144,0.5699125275404704,0.2197958873785313,0.4311676909569798,0.42500380483094086,True
