item_id,trust,mean_actual_kl_h,mae,rmse,mae_pct_of_mean,mase,rmsse,bias_mean_error,worst_abs_error,n_rows,n_zero_actual,n_used_for_tolerance,pct_within_10,pct_within_20,pct_within_30
BE_BLOCK_OHT,healthy,1.9401241134751774,0.7158426820851387,1.2171938513163387,36.89674681703281,0.7550025248717124,0.7621048409159092,0.25739334625977994,6.93866358757019,564,6,558,24.193548387096776,45.51971326164875,62.903225806451616
MRD_BLOCK,healthy,1.388758865248227,0.7403120932088675,1.3053598267156672,53.30746119676751,0.615047817567103,0.4543317445316767,0.24088030104096053,10.266319770812988,564,40,524,18.51145038167939,34.9236641221374,47.32824427480916
GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.280709219858156,0.5939409305736528,0.9754142140469311,46.37593931270631,0.7172389504255989,0.6089587136359469,0.1729411770392817,5.428101663589477,564,63,501,22.355289421157686,33.532934131736525,44.71057884231537
MM_BLOCK,healthy,1.1443617021276598,0.23676923800022043,0.36331871690288886,20.690070067882044,0.5352375483495482,0.46739063815331383,-0.019586139883555422,1.6981486082077026,564,8,556,45.50359712230216,67.98561151079137,80.93525179856115
G_BLOCK,healthy,1.0315248226950353,0.34944220378043805,0.7759753710451118,33.87627675962857,0.6925873148437515,0.6805208947697226,-0.06910338485494573,12.5708962059021,564,23,541,34.750462107208875,62.10720887245841,76.34011090573013
NBX,healthy,0.8031729055258466,0.35515430495488237,0.8863350982801632,44.218910089149325,0.8385348534936095,0.8717737955868997,0.11953065997564007,15.782166528701783,561,17,544,18.566176470588236,33.27205882352941,50.73529411764706
F_BLOCK,healthy,0.709822695035461,0.36848560937541597,0.8317583275358287,51.91234542831958,0.6320943415842472,0.690558628992405,0.1600385195122543,11.643488322496415,564,33,531,12.617702448210924,25.423728813559322,38.22975517890772
GJBC_LAW_BLOCK_3__A1,healthy,0.6260071301247772,0.37538781821621503,1.422436529104647,59.965422141660255,1.5211433039948927,1.2916720995202655,0.23283994963249846,14.740334199666977,561,18,543,25.96685082872928,53.77532228360957,68.13996316758748
GJBC_LAW_BLOCK_3__A2,healthy,0.4324468085106383,0.1704784379698706,0.35467189259638376,39.42182821443502,0.3993731757206316,0.1937219897913166,-0.04294396964370782,2.741337299346924,564,44,520,27.692307692307693,49.80769230769231,64.03846153846153
GJBC_BLOCK_2_A1,healthy,0.4049468085106383,0.11780056795541277,0.2125667845941332,29.090380632625248,0.5653909073670723,0.6011040825011528,-0.0008755374102727715,1.3279229259490966,564,22,542,18.265682656826566,35.05535055350554,47.97047970479705
TECH_PARK,healthy,0.40037234042553194,0.18035242630129164,0.34583155082768385,45.04617529512798,0.5259909957206631,0.3462447850235837,-0.014911946177693964,3.7943934535980226,564,32,532,17.105263157894736,33.27067669172932,48.87218045112782
GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.3408333333333334,0.14454703821886516,0.20249352188294792,42.40988896397021,0.5668995606109973,0.4473140398690544,-0.021137920473272915,0.983340609073639,564,55,509,23.968565815324165,43.811394891944985,59.3320235756385
I&H_BLOCK,degraded,0.3141134751773049,0.3164233963910147,1.481807351944971,100.73537794340275,0.8387650965558855,1.4109027077762226,0.29235976266628455,19.72672017455101,564,331,233,0.4291845493562232,0.8583690987124464,3.4334763948497855
GJBC_BLOCK_1_A3,healthy,0.1895390070921986,0.09871806556134359,0.14723454489371218,52.08324506697641,0.585595378820858,0.5363536975650908,0.01841298579535586,1.2326588559150695,564,44,520,15.384615384615385,31.346153846153847,49.61538461538461
NEW_BLOCK,healthy,0.17489361702127657,0.035839806959984156,0.06535282988316055,20.49234704524642,0.518461551447448,0.4908793628461872,0.005347340029816256,0.4064829158782959,564,5,559,44.90161001788909,66.90518783542039,78.53309481216458
GJBC_BLOCK_1_A2_GIRLS,healthy,0.1647340425531915,0.0732540366576707,0.11793285999803942,44.46806229138551,0.5380126759360251,0.5512679182852966,0.013932139123690889,1.0257835465669631,564,29,535,17.570093457943926,34.953271028037385,51.02803738317757
GJBC_BLOCK_1_A1_BOYS,degraded,0.15852836879432625,0.07782898326767675,0.11518601545225222,49.09467236659175,0.5856847692232673,0.5369453064123301,0.009059762588523805,0.9469637429714204,564,41,523,16.44359464627151,33.269598470363285,49.521988527724666
IT_BLOCK,degraded,0.09443262411347518,0.06232919397136421,0.1250264103651018,66.0038779569084,1.0668461585201816,0.7738625293690301,0.025241599052034797,1.0549151465296744,564,134,430,8.372093023255815,19.302325581395348,29.53488372093023
ME_WORKSHOP_BLOCK,degraded,0.037429078014184394,0.02640896702858996,0.04924317631729478,70.55735388026878,0.15937136393471432,0.06646463987127435,0.010896802134547676,0.5537517991662025,564,126,438,8.67579908675799,19.406392694063925,29.908675799086758
INFORMATION_CENTRE,dead,0.017304964539007095,0.017632003845911185,0.07084189205017298,101.8898582898966,2.0555751635355137,1.1878550912270682,0.016584882577484913,0.589532064422965,564,460,104,0.9615384615384616,0.9615384615384616,0.9615384615384616
BE_BLOCK_RO,dead,0.01148936170212766,0.007343089366199595,0.013366117390732095,63.912074113218694,0.555899752131092,0.21401871529560712,0.0016561273811054782,0.08652754604816437,564,323,241,9.95850622406639,19.502074688796682,29.045643153526974
CRICKET_GROUND_OHT,degraded,0.008421985815602837,0.00876041615864011,0.03446096097867915,104.01841502048467,0.15529602759769767,0.26836333025114034,0.007655335406951131,0.559071553349495,564,412,152,0.0,0.0,0.0
GJBC_BLOCK_1_A4_RO,degraded,0.0040070921985815595,0.004039280416971528,0.019067060745055674,100.80328120229832,0.06773673772909286,0.09611754639811591,0.0038435078489656906,0.42998327263165265,564,392,172,0.0,0.0,0.0
NEW_BLOCK_RO,dead,0.0003900709219858156,0.0004689336296852929,0.0019501814225367938,120.21753051932053,0.23353983252075872,0.0589336679634121,0.0003001133606113586,0.009935833620838821,564,542,22,0.0,0.0,0.0
