model,item_id,horizon,n_windows,mean_actual_kl_per_window,mae_kl_per_window,err_pct_of_window,bias_kl_per_window,bias_pct
Chronos2-COV,BE_BLOCK_OHT,24,24,45.59291666666667,8.104810231824716,17.77646797874242,-7.517025308509669,-16.487265694070903
Chronos2-COV,MRD_BLOCK,24,24,32.63583333333333,11.118746694227061,34.069136769584745,-7.486758165458838,-22.94030027972986
Chronos2-COV,GJBC_LAW_BLOCK_3_A4_BOYS,24,24,30.096666666666668,6.4848913607994705,21.54687571425231,-4.220811558564503,-14.024182828323747
Chronos2-COV,MM_BLOCK,24,24,26.8925,1.399465961356958,5.20392660168061,0.9212856250007949,3.425808775683908
Chronos2-COV,G_BLOCK,24,24,24.24083333333333,3.8125111461182435,15.727640604152402,1.1825946420927844,4.8785230517080045
Chronos2-COV,NBX,24,24,18.774166666666662,3.7111885037521515,19.767527207166687,-2.5884542261064047,-13.78731888378395
Chronos2-COV,F_BLOCK,24,24,16.680833333333336,5.035870406329631,30.18956131086355,-3.9542248632510506,-23.705199759710545
Chronos2-COV,GJBC_LAW_BLOCK_3__A1,24,24,14.632916666666668,6.0128303208450475,41.09112665516704,-5.333071335007747,-36.44571657512626
Chronos2-COV,GJBC_LAW_BLOCK_3__A2,24,24,10.1625,2.0939120253920556,20.604300372861555,0.961364529033502,9.45992156490531
Chronos2-COV,GJBC_BLOCK_2_A1,24,24,9.51625,1.260639252141118,13.247227134019369,-0.09105904770394145,-0.956879524013571
Chronos2-COV,TECH_PARK,24,24,9.40875,2.1759604108085235,23.12698722793701,0.11796059034764757,1.2537328587500738
Chronos2-COV,GJBC_LAW_BLOCK_3__A3_GIRLS,24,24,8.009583333333333,1.8449453207602104,23.034223429352885,0.6348520568758249,7.92615583676835
Chronos2-COV,I&H_BLOCK,24,24,7.381666666666665,7.100958119605977,96.19721995402094,-7.062996899858116,-95.6829564216498
Chronos2-COV,GJBC_BLOCK_1_A3,24,24,4.454166666666667,1.0639081969857216,23.885684497340804,-0.5709861775239309,-12.819147109985352
Chronos2-COV,NEW_BLOCK,24,24,4.11,0.28763513244688504,6.998421714036132,-0.15608212721844514,-3.797618667115453
Chronos2-COV,GJBC_BLOCK_1_A2_GIRLS,24,24,3.87125,0.836095967590809,21.59757100654334,-0.4866631585111221,-12.571214943781003
Chronos2-COV,GJBC_BLOCK_1_A1_BOYS,24,24,3.7254166666666664,0.774053522720933,20.777636221118883,-0.31813148734470215,-8.539487413346217
Chronos2-COV,IT_BLOCK,24,24,2.2191666666666667,0.8207513878556588,36.98466636976307,-0.7093484357558192,-31.964630976604695
Chronos2-COV,ME_WORKSHOP_BLOCK,24,24,0.8795833333333333,0.31575322900588315,35.898045931507326,-0.3121769386592011,-35.49145678740325
Chronos2-COV,INFORMATION_CENTRE,24,24,0.40666666666666673,0.3950440975123395,97.14199119155887,-0.39266772530352084,-96.55763736971822
Chronos2-COV,BE_BLOCK_RO,24,24,0.26999999999999996,0.10115199694875628,37.46370257361344,-0.06326355981174857,-23.430948078425395
Chronos2-COV,CRICKET_GROUND_OHT,24,24,0.19791666666666666,0.17879485234462966,90.33845171097077,-0.17704984728091708,-89.45676494193704
Chronos2-COV,GJBC_BLOCK_1_A4_RO,24,24,0.09416666666666666,0.09216450126608834,97.8738066542531,-0.09216450126608834,-97.87380665425312
Chronos2-COV,NEW_BLOCK_RO,24,24,0.009166666666666667,0.008965614048017111,97.80669870564121,-0.007169554880674695,-78.21332597099668
Chronos2-COV-LEAN,BE_BLOCK_OHT,24,24,45.59291666666667,7.9129187327623365,17.355587909881475,-7.3393822453419375,-16.09763704963367
Chronos2-COV-LEAN,MRD_BLOCK,24,24,32.63583333333333,11.176709022422633,34.246740103942905,-7.498913479745387,-22.977545580508302
Chronos2-COV-LEAN,GJBC_LAW_BLOCK_3_A4_BOYS,24,24,30.096666666666668,6.3585061016678806,21.126944628423573,-4.045430615842342,-13.441457356880083
Chronos2-COV-LEAN,MM_BLOCK,24,24,26.8925,1.3443837553262714,4.999102929538984,0.8111442557970685,3.0162471164713898
Chronos2-COV-LEAN,G_BLOCK,24,24,24.24083333333333,3.93932979931434,16.250801881045096,1.4124359104037285,5.826680506323608
Chronos2-COV-LEAN,NBX,24,24,18.774166666666662,3.7707724421223,20.084899154630747,-2.746299493511517,-14.628076666580057
Chronos2-COV-LEAN,F_BLOCK,24,24,16.680833333333336,5.13271216755112,30.770118404662757,-3.990297878632943,-23.921454035867168
Chronos2-COV-LEAN,GJBC_LAW_BLOCK_3__A1,24,24,14.632916666666668,6.015198171238104,41.10730832589609,-5.410723103930553,-36.976381586700434
Chronos2-COV-LEAN,GJBC_LAW_BLOCK_3__A2,24,24,10.1625,2.0415797764559587,20.089345893785573,0.9554205340643724,9.40143206951412
Chronos2-COV-LEAN,GJBC_BLOCK_2_A1,24,24,9.51625,1.281929438536366,13.470951672521908,-0.019471609319249555,-0.20461431046104878
Chronos2-COV-LEAN,TECH_PARK,24,24,9.40875,2.229527987341086,23.69632509463091,0.19834695890545836,2.108111692897126
Chronos2-COV-LEAN,GJBC_LAW_BLOCK_3__A3_GIRLS,24,24,8.009583333333333,1.8131046025951703,22.63669066341574,0.5774202379584312,7.2091170530106385
Chronos2-COV-LEAN,I&H_BLOCK,24,24,7.381666666666665,7.056983723168571,95.60149545949749,-6.994174097503223,-94.75060868146161
Chronos2-COV-LEAN,GJBC_BLOCK_1_A3,24,24,4.454166666666667,1.042346448947986,23.401604092377607,-0.5224412757903337,-11.729270925133779
Chronos2-COV-LEAN,NEW_BLOCK,24,24,4.11,0.2898430359487732,7.0521419938874255,-0.11922045204788445,-2.9007409257392807
Chronos2-COV-LEAN,GJBC_BLOCK_1_A2_GIRLS,24,24,3.87125,0.8261342442408205,21.34024525000505,-0.437273091164728,-11.295397898992006
Chronos2-COV-LEAN,GJBC_BLOCK_1_A1_BOYS,24,24,3.7254166666666664,0.7603957011674841,20.41102430155421,-0.2878619288032254,-7.726972700231977
Chronos2-COV-LEAN,IT_BLOCK,24,24,2.2191666666666667,0.8055253199581056,36.29854990423308,-0.702477278818066,-31.65500317618022
Chronos2-COV-LEAN,ME_WORKSHOP_BLOCK,24,24,0.8795833333333333,0.2981405284876625,33.89565458883894,-0.2898714269449314,-32.95553882841475
Chronos2-COV-LEAN,INFORMATION_CENTRE,24,24,0.40666666666666673,0.3936882844536254,96.80859453777671,-0.3914276377856732,-96.25269781614912
Chronos2-COV-LEAN,BE_BLOCK_RO,24,24,0.26999999999999996,0.09965574451955035,36.909535007240876,-0.05863778871406491,-21.717699523727745
Chronos2-COV-LEAN,CRICKET_GROUND_OHT,24,24,0.19791666666666666,0.1759985265508294,88.92557130989276,-0.17372531381746134,-87.77700066566467
