item_id,horizon,winner,beats_seasonal_naive,mean_actual_kl_h,mae_chronos2,mae_npts,rmse_chronos2,rmse_npts,mase_chronos2,mase_npts,rmsse_chronos2,rmsse_npts,pct_impr_mae,pct_impr_rmse,pct_impr_mase,pct_impr_rmsse
INFORMATION_CENTRE,6,NPTS,False,0.014084507042253521,0.014391377174728354,0.014084507042253521,0.05990282632513707,0.060000000000000005,1.663654071242914,1.6286789285961936,0.9980915598609619,0.9997177406386832,-2.1787779405713086,0.16195612477155896,-2.1474547274254063,0.1626639912064036
I&H_BLOCK,6,Chronos-2,False,0.43302816901408453,0.42744373198965907,0.432887323943662,1.585412035648757,1.6097220038185054,1.12610313610903,1.140413094793099,1.4739372530368664,1.4965960081956429,1.2575078208368506,1.510196674461885,1.2548048377737497,1.5140194838615657
GJBC_LAW_BLOCK_3__A1,6,Chronos-2,False,0.5150359712230216,0.27191149156299427,0.31424460431654677,0.9490661252521376,0.9893832102328438,1.1125076336673303,1.2843481344550847,0.8695406697690867,0.9063974824951158,13.471388902801735,4.074971615014355,13.379588927472673,4.0662968992996555
IT_BLOCK,6,Chronos-2,False,0.09190140845070423,0.06340652375678782,0.0678169014084507,0.11540619161134122,0.13796049648920988,1.0812145747886426,1.1564069116411217,0.7122155883689778,0.8511428133975836,6.503360607851811,16.3483790301035,6.502238623407181,16.322434125248314
NBX,6,NPTS,True,0.7847887323943662,0.3586004088378288,0.33598591549295775,0.6019177042173319,0.601429634815082,0.8453717719752546,0.7921864782431961,0.5854702826481452,0.5849703426962708,-6.730786113962874,-0.0811515386001795,-6.713734100840201,-0.08546415354495014
GJBC_LAW_BLOCK_3_A4_BOYS,6,Chronos-2,True,1.1424647887323942,0.5812268821454384,0.643661971830986,0.9365225653393964,1.042205813525562,0.702211206485257,0.7777148842765168,0.5847245378950855,0.6507194076559599,9.699981110883757,10.140343376963289,9.708400767139544,10.141832099122881
G_BLOCK,6,Chronos-2,True,0.9742957746478871,0.34794183114884614,0.35098591549295777,0.547860010092825,0.5464920137813183,0.6890182090462831,0.695155471038308,0.4785080550210003,0.4771526164139937,0.8672952986834902,-0.2503232027200599,0.8828617838334908,-0.28406814934670166
BE_BLOCK_OHT,6,Chronos-2,True,1.7737323943661973,0.6406146940043276,0.6698591549295774,0.9905514039424992,1.0209516411275936,0.6754155154054844,0.7062782315521716,0.6197546735166262,0.6388684855006695,4.36576266966513,2.977637329768018,4.369767432710044,2.9918226392188116
MM_BLOCK,6,Chronos-2,True,1.0646478873239438,0.25691986159539554,0.2661971830985915,0.40220754914317514,0.44453488907579997,0.5809488066875899,0.6019744225798266,0.5177810618727675,0.5723710883306249,3.4851313583434673,9.521713812075474,3.492775623610248,9.537523395368277
GJBC_BLOCK_2_A1,6,Chronos-2,True,0.42133802816901406,0.11615683079185622,0.16549295774647887,0.20244180627831526,0.29101086567972334,0.5576277581161962,0.7945255184559988,0.5727395752855651,0.8233643493357296,29.811617138537944,30.43496647265541,29.81625571953509,30.439109277971834
GJBC_LAW_BLOCK_3__A3_GIRLS,6,Chronos-2,True,0.3047887323943662,0.14078501080543224,0.21373239436619718,0.19432651799201897,0.302232305019141,0.5521689408024313,0.8385528648143277,0.4294700772678355,0.6681877419793872,34.13024206137931,35.70292957938038,34.152160946383205,35.72613649038116
GJBC_BLOCK_1_A3,6,Chronos-2,True,0.18105633802816903,0.08928040674244854,0.09492957746478874,0.12523971488978267,0.13041105111730802,0.5298517927871187,0.5634398866077889,0.4562831806107871,0.4752021980519314,5.950906844008219,3.9654125806206495,5.961255959866202,3.9812562986244444
MRD_BLOCK,6,Chronos-2,True,1.3928873239436619,0.6201959884334618,0.8430985915492957,1.2268123365888446,1.365547921810349,0.5150049306436355,0.7001806153082909,0.42740396916838574,0.4757041926948405,26.438497863722365,10.15970095268267,26.446845373335876,10.153415561220175
NEW_BLOCK,6,Chronos-2,True,0.17204225352112676,0.033934713555893434,0.03429577464788732,0.06229972108302819,0.06362854351072146,0.4911099349387236,0.49615745214084767,0.46843136201849495,0.47828864922885556,1.0527859355879268,2.0884061686393345,1.0173216547176172,2.0609494342492773
GJBC_BLOCK_1_A1_BOYS,6,Chronos-2,True,0.15492957746478872,0.06409562227381786,0.06781690140845072,0.09078771448092295,0.09593498385240165,0.4824741305887128,0.5105473454433624,0.42331022335229723,0.4473605693082022,5.487244414515734,5.365372635490204,5.498650635480376,5.376054039160495
