item_id,trust,mean_actual_kl_h,mae,rmse,mae_pct_of_mean,mase,rmsse,bias_mean_error,worst_abs_error,n_rows,n_zero_actual,n_used_for_tolerance,pct_within_10,pct_within_20,pct_within_30
BE_BLOCK_OHT,healthy,1.8786290121920877,0.7210642366867274,1.1734561409828645,38.38247104708289,0.7605195261704695,0.734490511463817,0.2927050777287233,6.9745982742309565,4019,57,3962,20.570418980312972,39.62645128722867,57.29429581019687
MRD_BLOCK,healthy,1.4343468524508582,0.8408850719549669,1.3871654847733232,58.624946296507886,0.6985250823513611,0.4827838703212402,0.3611450537344389,10.263511915206909,4019,245,3774,16.69316375198728,29.756226815050347,42.92527821939587
GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.2819656631002738,0.6173658075193826,1.0024236215909157,48.15774909496098,0.7455654121894596,0.6257641459390406,0.1949844804460298,5.398099784851074,4019,440,3579,21.82173791561889,34.14361553506566,42.10673372450405
MM_BLOCK,healthy,1.1247001741726799,0.24666358234752436,0.3780868509933131,21.931496767924667,0.5575577492752173,0.48636086317278127,-0.028334265300426115,1.858832836151123,4019,70,3949,44.66953659154216,67.66269941757407,79.74170676120536
G_BLOCK,healthy,1.0174222443393879,0.3668366765898832,0.7872919047433694,36.05549992943885,0.7271086799157243,0.6895639487990568,-0.09824067656274278,12.588431534767151,4019,179,3840,32.5,60.65104166666667,74.58333333333333
NBX,healthy,0.7322611305652826,0.3111627469917367,0.6475362400213808,42.493413074039424,0.734624293035989,0.6362734126106396,0.04488304774393851,15.817009854316712,3998,128,3870,16.382428940568474,32.015503875968996,48.63049095607235
F_BLOCK,healthy,0.712963423737248,0.3627728198487594,0.7697005348959145,50.88238860096895,0.6221670245170426,0.6384195714740697,0.20041451035936422,11.638082002401353,4019,207,3812,13.090241343126968,25.078698845750264,37.670514165792234
GJBC_LAW_BLOCK_3__A1,healthy,0.6534518147684606,0.41569284696393977,1.5740746990950283,63.614919657271656,1.6862899179300648,1.4305437720307514,0.26858841568179365,18.201283719539642,3995,146,3849,23.434658352818914,45.258508703559365,59.75578072226553
GJBC_LAW_BLOCK_3__A2,healthy,0.41123413784523516,0.19047376694356544,0.38523773766393893,46.31759608810706,0.44568439437204843,0.2099629850882585,-0.0820930120911756,3.008991241455078,4019,355,3664,22.352620087336245,41.430131004366814,57.9967248908297
GJBC_BLOCK_2_A1,healthy,0.3998504859207575,0.12083206136907511,0.21663618995159478,30.219310873370215,0.5798502984753999,0.612591917391339,0.0011460990352343107,1.3227503156661986,4013,195,3818,17.050811943425877,32.975379779989524,45.599790466212674
TECH_PARK,healthy,0.39104005971634737,0.1784703980838223,0.3438477102373833,45.639927073783994,0.5204692135790714,0.3438811462854166,-0.02098766984527874,3.9908324217796327,4019,226,3793,16.82045873978381,33.03453730556288,48.6422356973372
