model,n,nominal_coverage,coverage_raw,coverage_cal,width_raw,width_cal,miss_below_raw,miss_below_cal,miss_above_raw,miss_above_cal,volume_bias_raw_pct,volume_bias_cal_pct,mae_raw,mae_cal
SeasonalNaive-24,33915,0.8,0.29503169688928205,0.8194899012236474,0.0,0.7746641699053383,0.3532065457762052,0.09004865103936312,0.35176175733451276,0.09046144773698954,0.6513479689442634,-0.003406516666388298,0.3099421212338845,0.309410123797062
NPTS,33915,0.8,0.8613003095975232,0.8570838861860534,0.7122874834144185,0.807655862995543,0.043520566121185315,0.058617131062951494,0.09517912428129147,0.08429898275099514,-6.877378647575037,-3.0066925435766074,0.23933834586466166,0.24471329515974422
Chronos2-ZS,33915,0.8,0.7584549609317411,0.8176912870411323,0.6410759815326578,0.7275222820285817,0.14854784018870706,0.09606368863334808,0.09299719887955182,0.08624502432551968,-10.854400171571832,-2.5905340895953897,0.21614598945573602,0.22316535699549167
