model,item_id,n,mean_actual_kl_h,raw_factor,factor,applied,clipped
Chronos2-ZS,BE_BLOCK_OHT,1353,1.7782926829268295,1.1269446094892963,1.1269446094892963,True,False
Chronos2-ZS,BE_BLOCK_RO,1339,0.016116504854368933,2.9211389448075464,2.0,True,True
Chronos2-ZS,CRICKET_GROUND_OHT,1357,0.04019896831245395,2.0481782833062185,2.0,True,True
Chronos2-ZS,F_BLOCK,1440,0.8668402777777777,1.4076895254078017,1.4076895254078017,True,False
Chronos2-ZS,GJBC_BLOCK_1_A1_BOYS,1440,0.13816666666666666,1.0220375125327619,1.0220375125327619,True,False
Chronos2-ZS,GJBC_BLOCK_1_A2_GIRLS,1440,0.13447916666666668,1.0585800092651299,1.0585800092651299,True,False
Chronos2-ZS,GJBC_BLOCK_1_A3,1440,0.17327083333333332,1.0698843861400815,1.0698843861400815,True,False
Chronos2-ZS,GJBC_BLOCK_1_A4_RO,1440,0.0005,32.37501017725025,1.0,False,False
Chronos2-ZS,GJBC_BLOCK_2_A1,1440,0.3696527777777777,1.0471370149772268,1.0471370149772268,True,False
Chronos2-ZS,GJBC_LAW_BLOCK_3_A4_BOYS,1440,1.0827847222222222,1.146179308122932,1.146179308122932,True,False
Chronos2-ZS,GJBC_LAW_BLOCK_3__A1,1440,0.4207430555555556,1.0531771038952271,1.0531771038952271,True,False
Chronos2-ZS,GJBC_LAW_BLOCK_3__A2,1440,0.5854583333333333,1.0508119941368188,1.0508119941368188,True,False
Chronos2-ZS,GJBC_LAW_BLOCK_3__A3_GIRLS,1440,0.4589027777777777,1.060557759904926,1.060557759904926,True,False
Chronos2-ZS,G_BLOCK,1440,1.001486111111111,0.8997007695268249,0.8997007695268249,True,False
Chronos2-ZS,I&H_BLOCK,1440,0.2906805555555556,20.26775272481711,2.0,True,True
Chronos2-ZS,INFORMATION_CENTRE,1439,0.008874218207088254,142.10601925338807,1.0,False,False
Chronos2-ZS,IT_BLOCK,1440,0.058701388888888886,1.6254026880721881,1.6254026880721881,True,False
Chronos2-ZS,ME_WORKSHOP_BLOCK,1092,0.05996336996336997,2.368606071177102,2.0,True,True
Chronos2-ZS,MM_BLOCK,1421,1.1132723434201266,0.9748146676236584,0.9748146676236584,True,False
Chronos2-ZS,MRD_BLOCK,1440,1.2144027777777777,1.0368262372143409,1.0368262372143409,True,False
Chronos2-ZS,NBX,1437,0.7036604036186499,1.275895033495496,1.275895033495496,True,False
Chronos2-ZS,NEW_BLOCK,1437,0.15264439805149618,1.0176401033081803,1.0176401033081803,True,False
Chronos2-ZS,NEW_BLOCK_RO,1440,0.0012291666666666668,35.13387401434319,1.0,False,False
Chronos2-ZS,TECH_PARK,1440,0.47984722222222226,1.202726242413145,1.202726242413145,True,False
NPTS,BE_BLOCK_OHT,1353,1.7782926829268295,0.9520159854390061,0.9520159854390061,True,False
NPTS,BE_BLOCK_RO,1339,0.016116504854368933,5.785522788203754,2.0,True,True
NPTS,CRICKET_GROUND_OHT,1357,0.04019896831245395,2.85154208050183,2.0,True,True
NPTS,F_BLOCK,1440,0.8668402777777777,1.5664608588710691,1.5664608588710691,True,False
NPTS,GJBC_BLOCK_1_A1_BOYS,1440,0.13816666666666666,0.9349624060150376,0.9349624060150376,True,False
NPTS,GJBC_BLOCK_1_A2_GIRLS,1440,0.13447916666666668,0.9231539304953045,0.9231539304953045,True,False
NPTS,GJBC_BLOCK_1_A3,1440,0.17327083333333332,0.90444774712727,0.90444774712727,True,False
NPTS,GJBC_BLOCK_1_A4_RO,1440,0.0005,,1.0,False,False
NPTS,GJBC_BLOCK_2_A1,1440,0.3696527777777777,1.0478346456692913,1.0478346456692913,True,False
NPTS,GJBC_LAW_BLOCK_3_A4_BOYS,1440,1.0827847222222222,1.100103716142324,1.100103716142324,True,False
NPTS,GJBC_LAW_BLOCK_3__A1,1440,0.4207430555555556,1.1735071374615043,1.1735071374615043,True,False
NPTS,GJBC_LAW_BLOCK_3__A2,1440,0.5854583333333333,0.9890194974308438,0.9890194974308438,True,False
NPTS,GJBC_LAW_BLOCK_3__A3_GIRLS,1440,0.4589027777777777,1.0764644555939271,1.0764644555939271,True,False
NPTS,G_BLOCK,1440,1.001486111111111,0.8867177412412842,0.8867177412412842,True,False
NPTS,I&H_BLOCK,1440,0.2906805555555556,1674.3200000000002,2.0,True,True
NPTS,INFORMATION_CENTRE,1439,0.008874218207088254,,1.0,False,False
NPTS,IT_BLOCK,1440,0.058701388888888886,2.036867469879518,2.0,True,True
NPTS,ME_WORKSHOP_BLOCK,1092,0.05996336996336997,2.4189139268562987,2.0,True,True
NPTS,MM_BLOCK,1421,1.1132723434201266,0.9633996321693483,0.9633996321693483,True,False
NPTS,MRD_BLOCK,1440,1.2144027777777777,0.9380343943441365,0.9380343943441365,True,False
NPTS,NBX,1437,0.7036604036186499,1.0978459133153826,1.0978459133153826,True,False
NPTS,NEW_BLOCK,1437,0.15264439805149618,1.093415083993819,1.093415083993819,True,False
NPTS,NEW_BLOCK_RO,1440,0.0012291666666666668,,1.0,False,False
NPTS,TECH_PARK,1440,0.47984722222222226,1.4240550678042951,1.4240550678042951,True,False
SeasonalNaive-24,BE_BLOCK_OHT,1353,1.7782926829268295,0.9783732639111857,0.9783732639111857,True,False
SeasonalNaive-24,BE_BLOCK_RO,1339,0.016116504854368933,0.9546393664485179,0.9546393664485179,True,False
SeasonalNaive-24,CRICKET_GROUND_OHT,1357,0.04019896831245395,0.9554874434935935,0.9554874434935935,True,False
SeasonalNaive-24,F_BLOCK,1440,0.8668402777777777,0.9951686584656106,0.9951686584656106,True,False
SeasonalNaive-24,GJBC_BLOCK_1_A1_BOYS,1440,0.13816666666666666,1.0077495821303752,1.0077495821303752,True,False
SeasonalNaive-24,GJBC_BLOCK_1_A2_GIRLS,1440,0.13447916666666668,1.0072821846553965,1.0072821846553965,True,False
SeasonalNaive-24,GJBC_BLOCK_1_A3,1440,0.17327083333333332,1.0064945542557482,1.0064945542557482,True,False
SeasonalNaive-24,GJBC_BLOCK_1_A4_RO,1440,0.0005,1.0,1.0,False,False
SeasonalNaive-24,GJBC_BLOCK_2_A1,1440,0.3696527777777777,0.989441986690955,0.989441986690955,True,False
SeasonalNaive-24,GJBC_LAW_BLOCK_3_A4_BOYS,1440,1.0827847222222222,0.9970520903940351,0.9970520903940351,True,False
SeasonalNaive-24,GJBC_LAW_BLOCK_3__A1,1440,0.4207430555555556,1.0005119228482726,1.0005119228482726,True,False
SeasonalNaive-24,GJBC_LAW_BLOCK_3__A2,1440,0.5854583333333333,0.9950310998855146,0.9950310998855146,True,False
