model,n,nominal_coverage,coverage_raw,coverage_cal,width_raw,width_cal,miss_below_raw,miss_below_cal,miss_above_raw,miss_above_cal,volume_bias_raw_pct,volume_bias_cal_pct,mae_raw,mae_cal
SeasonalNaive-24,25439,0.8,0.2680922992255985,0.803530012972208,0.0,0.7797797184969341,0.3706120523605488,0.09937497543142419,0.36129564841385275,0.09709501159636778,-0.05732680919965824,-0.6721676673701594,0.303978744921643,0.30357953283680283
NPTS,25439,0.8,0.8497582452140414,0.8271158457486536,0.6880856165729785,0.7860315150742863,0.05464051259876568,0.08321867997955895,0.09560124218719289,0.08966547427178741,-6.874106205905099,-1.6920723936911093,0.22661071583002473,0.24082235329417798
Chronos2-ZS,25439,0.8,0.7405951491803923,0.7852903022917568,0.5932647881499525,0.6691660953480832,0.16081606981406502,0.12193875545422383,0.09858878100554266,0.09277094225401943,-10.511234670365008,-1.7953036630127248,0.20544944026311246,0.21409071672133242
