model,days,days_full_coverage,mean_actual_kl_day,mean_pred_kl_day,daily_mae_kl,daily_mape_pct,daily_mae_raw_kl,total_bias_pct,total_bias_raw_pct,days_under_forecast,daily_band_coverage,daily_band_width_kl,sd_ratio,corr_with_actual,hourly_mae_kl_h
Chronos2-ZS,45,43,270.03767441860464,265.6434076226136,28.765396814303966,11.380549076215978,36.653920736861835,-1.6272791585292408,-10.31974030228056,24,0.627906976744186,60.73253481282943,0.8864347602525338,0.6471196137444741,0.21409071672133242
NPTS,45,43,270.03767441860464,266.13058212668557,36.305064208171494,14.719497010198937,41.097906976744184,-1.4468693304854892,-6.626034954640246,28,0.6511627906976745,87.45900468480926,0.05700460975008023,-0.30842390515305096,0.24082235329417798
SeasonalNaive-24,45,43,270.03767441860464,270.231558375432,42.67296433916864,17.167252443182523,42.94933034811498,0.0717988544542084,0.6938511492375611,21,0.6511627906976745,106.26435383532676,0.9906363145417327,0.2762013573693664,0.30357953283680283
