model,item_id,n,q_lo,q_hi,fitted
SeasonalNaive-24,G_BLOCK,1440,0.9537339708240853,0.9513382480665038,True
SeasonalNaive-24,I&H_BLOCK,1440,0.17568807689595917,0.17,True
SeasonalNaive-24,INFORMATION_CENTRE,1439,0.0,0.0,True
SeasonalNaive-24,IT_BLOCK,1440,0.07033234421364985,0.0771432937685459,True
SeasonalNaive-24,ME_WORKSHOP_BLOCK,1092,0.04815536746617077,0.05,True
SeasonalNaive-24,MM_BLOCK,1421,0.6879442036058836,0.6523781125543593,True
SeasonalNaive-24,MRD_BLOCK,1440,1.5035351746997836,1.4467209949274116,True
SeasonalNaive-24,NBX,1437,0.788610157488946,0.7606543758107415,True
SeasonalNaive-24,NEW_BLOCK,1437,0.11087471114631547,0.10949563300966066,True
SeasonalNaive-24,NEW_BLOCK_RO,1440,0.0,0.0,True
SeasonalNaive-24,TECH_PARK,1440,0.623601358029997,0.691015657455556,True
