model,horizon,tank,n,mae,mase,mean_actual,trust,horizon_label
Chronos2-COV-LEAN,12,TECH_PARK,286,0.15760295489868084,0.4599311561460119,0.3816083916083916,healthy,12 h
Chronos2-COV-LEAN,24,BE_BLOCK_OHT,564,0.7117061311556092,0.7506753107652767,1.9401241134751774,healthy,1 d
Chronos2-COV-LEAN,24,BE_BLOCK_RO,564,0.007758001103065908,0.5874237356741868,0.01148936170212766,dead,1 d
Chronos2-COV-LEAN,24,CRICKET_GROUND_OHT,564,0.008877819136498457,0.15738706803508626,0.008421985815602837,degraded,1 d
Chronos2-COV-LEAN,24,F_BLOCK,564,0.3663639945447022,0.6284515655381634,0.7098226950354609,healthy,1 d
Chronos2-COV-LEAN,24,GJBC_BLOCK_1_A1_BOYS,564,0.077774394173043,0.585289917860506,0.15852836879432625,degraded,1 d
Chronos2-COV-LEAN,24,GJBC_BLOCK_1_A2_GIRLS,564,0.07370566698623464,0.5413253027154861,0.1647340425531915,healthy,1 d
Chronos2-COV-LEAN,24,GJBC_BLOCK_1_A3,564,0.09955027640499967,0.5905377536700026,0.1895390070921986,healthy,1 d
Chronos2-COV-LEAN,24,GJBC_BLOCK_1_A4_RO,564,0.004039080759224727,0.06773378059302762,0.00400709219858156,degraded,1 d
Chronos2-COV-LEAN,24,GJBC_BLOCK_2_A1,564,0.11804991804221844,0.5665826689068882,0.4049468085106383,healthy,1 d
Chronos2-COV-LEAN,24,GJBC_LAW_BLOCK_3_A4_BOYS,564,0.5786907097253393,0.6988399501960311,1.280709219858156,healthy,1 d
Chronos2-COV-LEAN,24,GJBC_LAW_BLOCK_3__A1,561,0.37348276467246805,1.513463409051387,0.6260071301247772,healthy,1 d
Chronos2-COV-LEAN,24,GJBC_LAW_BLOCK_3__A2,564,0.17562696870548505,0.41136578338084695,0.4324468085106383,healthy,1 d
Chronos2-COV-LEAN,24,GJBC_LAW_BLOCK_3__A3_GIRLS,564,0.14622983294175873,0.573383054800019,0.3408333333333333,healthy,1 d
Chronos2-COV-LEAN,24,G_BLOCK,564,0.34360177598523756,0.6809872781087516,1.0315248226950353,healthy,1 d
Chronos2-COV-LEAN,24,I&H_BLOCK,564,0.3154971211250369,0.8363409165154102,0.314113475177305,degraded,1 d
Chronos2-COV-LEAN,24,INFORMATION_CENTRE,564,0.01765535271052826,2.0585143595242124,0.01730496453900709,dead,1 d
Chronos2-COV-LEAN,24,IT_BLOCK,564,0.06384505637029701,1.0931856869200678,0.09443262411347518,degraded,1 d
Chronos2-COV-LEAN,24,ME_WORKSHOP_BLOCK,564,0.02655774377814844,0.16024511144434067,0.037429078014184394,degraded,1 d
Chronos2-COV-LEAN,24,MM_BLOCK,564,0.23735087212095868,0.5365822751097212,1.1443617021276595,healthy,1 d
Chronos2-COV-LEAN,24,MRD_BLOCK,564,0.736047615704807,0.611493353429428,1.388758865248227,healthy,1 d
