model,tank,trust,mean_actual,mae,ref_mae,skill
NPTS,GJBC_BLOCK_1_A1_BOYS,degraded,0.15852836879432625,0.08143617021276596,0.10400709219858156,0.21701329696556426
NPTS,GJBC_BLOCK_1_A2_GIRLS,healthy,0.1647340425531915,0.07804964539007092,0.1023936170212766,0.23774891774891782
NPTS,GJBC_BLOCK_1_A3,healthy,0.1895390070921986,0.105,0.13134751773049644,0.20059395248380119
NPTS,GJBC_BLOCK_1_A4_RO,degraded,0.00400709219858156,0.00400709219858156,0.005602836879432625,0.28481012658227856
NPTS,GJBC_BLOCK_2_A1,healthy,0.4049468085106383,0.15590425531914895,0.20960992907801418,0.2562172221282354
NPTS,GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.280709219858156,0.632145390070922,0.9025886524822695,0.2996306918634346
NPTS,GJBC_LAW_BLOCK_3__A1,healthy,0.6260071301247772,0.3953119429590018,0.5237433155080213,0.24521816077870795
NPTS,GJBC_LAW_BLOCK_3__A2,healthy,0.4324468085106383,0.23700354609929075,0.2426595744680851,0.023308490428174844
NPTS,GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.3408333333333333,0.17570921985815605,0.18388297872340426,0.04445087262559044
NPTS,G_BLOCK,healthy,1.0315248226950353,0.34569148936170213,0.5320390070921985,0.35025160795814303
NPTS,I&H_BLOCK,degraded,0.314113475177305,0.31398936170212766,0.5689007092198581,0.44807704294707973
NPTS,INFORMATION_CENTRE,dead,0.01730496453900709,0.01730496453900709,0.03664893617021276,0.5278180938558297
NPTS,IT_BLOCK,degraded,0.09443262411347518,0.06868794326241136,0.09551418439716311,0.28086133283831427
NPTS,ME_WORKSHOP_BLOCK,degraded,0.037429078014184394,0.027606382978723403,0.0376241134751773,0.26625824693685196
NPTS,MM_BLOCK,healthy,1.1443617021276595,0.23780141843971633,0.32232269503546096,0.26222564497497103
NPTS,MRD_BLOCK,healthy,1.388758865248227,0.8470035460992907,1.0859397163120568,0.22002710336832831
