model_a,model_b,horizon,a_wins,cells,a_win_pct
DynamicOptimizedTheta,Chronos2-COV,all,0,144,0.0
DynamicOptimizedTheta,Chronos2-COV-LEAN,all,0,144,0.0
DynamicOptimizedTheta,NPTS,all,7,144,4.861111111111111
DynamicOptimizedTheta,PatchTST-Tuned,all,32,144,22.22222222222222
DynamicOptimizedTheta,PatchTST,all,60,144,41.666666666666664
DynamicOptimizedTheta,ETS,all,42,144,29.166666666666668
DynamicOptimizedTheta,Theta,all,95,144,65.97222222222223
DynamicOptimizedTheta,SeasonalNaive,all,108,144,75.0
SeasonalNaive,Chronos2-ZS,all,0,144,0.0
SeasonalNaive,Chronos2-COV-XL,all,0,144,0.0
SeasonalNaive,Chronos2-COV,all,0,144,0.0
SeasonalNaive,Chronos2-COV-LEAN,all,0,144,0.0
SeasonalNaive,NPTS,all,7,144,4.861111111111111
SeasonalNaive,PatchTST-Tuned,all,19,144,13.194444444444445
SeasonalNaive,PatchTST,all,29,144,20.13888888888889
SeasonalNaive,ETS,all,28,144,19.444444444444443
SeasonalNaive,Theta,all,36,144,25.0
SeasonalNaive,DynamicOptimizedTheta,all,36,144,25.0
